Unnamed: 0,project,classifier,fold,balanced_acc,feature_extraction
223,eclipse,nn,23,0.5002013196551558,tf-idf
224,eclipse,nn,24,0.5527138001646646,tf-idf
225,eclipse,nn,25,0.507560540921116,tf-idf
226,eclipse,nn,26,0.5210635736951527,tf-idf
227,eclipse,nn,27,0.5169567285925858,tf-idf
228,eclipse,nn,28,0.5315437788018433,tf-idf
229,eclipse,nn,29,0.5152613839315688,tf-idf
230,eclipse,nn,30,0.5279253685503686,tf-idf
231,eclipse,nn,31,0.5308984879218145,tf-idf
232,eclipse,nn,32,0.5277638685046093,tf-idf
233,eclipse,nn,33,0.5141999274554321,tf-idf
234,eclipse,nn,34,0.5314981125913689,tf-idf
235,eclipse,nn,35,0.5160625460574797,tf-idf
236,eclipse,nn,36,0.5228863138787673,tf-idf
237,eclipse,nn,37,0.5291021303005324,tf-idf
238,eclipse,nn,38,0.5336348376576663,tf-idf
239,eclipse,nn,39,0.5233617249846532,tf-idf
240,eclipse,nn,40,0.5281387905766518,tf-idf
241,eclipse,nn,41,0.5340864553314122,tf-idf
242,eclipse,nn,42,0.5160784992119325,tf-idf
243,eclipse,nn,43,0.5126632317242835,tf-idf
244,eclipse,nn,44,0.523512180523823,tf-idf
245,eclipse,nn,45,0.5113417705977259,tf-idf
246,eclipse,nn,46,0.5622356002342752,tf-idf
247,eclipse,nn,47,0.5187233797628641,tf-idf
248,eclipse,nn,48,0.5126826610179899,tf-idf
249,eclipse,nn,49,0.5199466528501386,tf-idf
