bug_id,bug_fix_time,long_lived,y_hat,project_name
CAMINO_GRAVEYARD-357597,3,N,N,mozilla
CAMINO_GRAVEYARD-363654,180,N,N,mozilla
CAMINO_GRAVEYARD-364252,541,Y,N,mozilla
CAMINO_GRAVEYARD-385485,67,N,N,mozilla
CAMINO_GRAVEYARD-394063,493,Y,N,mozilla
CAMINO_GRAVEYARD-399731,13,N,N,mozilla
CAMINO_GRAVEYARD-405744,125,N,N,mozilla
CAMINO_GRAVEYARD-405748,675,Y,N,mozilla
CAMINO_GRAVEYARD-415510,230,N,N,mozilla
CAMINO_GRAVEYARD-432983,500,Y,Y,mozilla
CAMINO_GRAVEYARD-441017,112,N,N,mozilla
CAMINO_GRAVEYARD-453940,144,N,N,mozilla
CAMINO_GRAVEYARD-456195,27,N,N,mozilla
CAMINO_GRAVEYARD-456300,64,N,N,mozilla
CAMINO_GRAVEYARD-482182,16,N,N,mozilla
CAMINO_GRAVEYARD-488570,5,N,N,mozilla
CCK_GRAVEYARD-263128,390,Y,N,mozilla
CHAT_CORE-955296,0,N,N,mozilla
CLOUD_SERVICES-472853,0,N,N,mozilla
CLOUD_SERVICES-475572,64,N,N,mozilla
CLOUD_SERVICES-478328,46,N,N,mozilla
CLOUD_SERVICES-482898,9,N,N,mozilla
CLOUD_SERVICES-485673,0,N,N,mozilla
CLOUD_SERVICES-493001,0,N,N,mozilla
CLOUD_SERVICES-506141,0,N,N,mozilla
CLOUD_SERVICES-512222,0,N,N,mozilla
CLOUD_SERVICES-773512,6,N,N,mozilla
COMPOSER_GRAVEYARD-357389,4,N,N,mozilla
CORE_GRAVEYARD-101996,1565,Y,N,mozilla
CORE_GRAVEYARD-103705,240,N,N,mozilla
CORE_GRAVEYARD-118306,120,N,N,mozilla
CORE_GRAVEYARD-125426,1,N,N,mozilla
CORE_GRAVEYARD-131480,892,Y,N,mozilla
CORE_GRAVEYARD-141367,6,N,N,mozilla
CORE_GRAVEYARD-141715,1854,Y,Y,mozilla
CORE_GRAVEYARD-15007,256,N,N,mozilla
CORE_GRAVEYARD-164664,85,N,N,mozilla
CORE_GRAVEYARD-174150,739,Y,N,mozilla
CORE_GRAVEYARD-17416,2,N,N,mozilla
CORE_GRAVEYARD-181850,583,Y,N,mozilla
CORE_GRAVEYARD-183508,50,N,N,mozilla
CORE_GRAVEYARD-185679,0,N,N,mozilla
CORE_GRAVEYARD-188533,4,N,N,mozilla
CORE_GRAVEYARD-19304,0,N,N,mozilla
CORE_GRAVEYARD-195992,35,N,N,mozilla
CORE_GRAVEYARD-201308,14,N,N,mozilla
CORE_GRAVEYARD-212110,6,N,N,mozilla
CORE_GRAVEYARD-213881,7,N,Y,mozilla
CORE_GRAVEYARD-214173,0,N,Y,mozilla
CORE_GRAVEYARD-219521,42,N,N,mozilla
