bug_id,bug_fix_time,long_lived,y_hat,project_name
COMMUNITY-508759,104,N,N,eclipse
COMMUNITY-508875,0,N,N,eclipse
COMMUNITY-509487,218,N,N,eclipse
COMMUNITY-513311,1,N,N,eclipse
COMMUNITY-517756,633,Y,N,eclipse
COMMUNITY-518466,0,N,N,eclipse
COMMUNITY-519102,2,N,N,eclipse
COMMUNITY-519974,1,N,N,eclipse
COMMUNITY-526125,0,N,N,eclipse
COMMUNITY-527074,25,N,N,eclipse
COMMUNITY-527498,381,Y,Y,eclipse
COMMUNITY-527798,0,N,N,eclipse
COMMUNITY-527842,36,N,N,eclipse
COMMUNITY-528801,1,N,N,eclipse
COMMUNITY-529093,152,N,N,eclipse
COMMUNITY-529550,9,N,N,eclipse
DALI_JPA_TOOLS-147430,0,N,N,eclipse
DALI_JPA_TOOLS-148864,0,N,N,eclipse
DALI_JPA_TOOLS-223418,56,N,N,eclipse
DALI_JPA_TOOLS-245244,7,N,N,eclipse
DALI_JPA_TOOLS-261664,287,N,N,eclipse
DALI_JPA_TOOLS-313220,717,Y,N,eclipse
DALI_JPA_TOOLS-314923,684,Y,N,eclipse
DALI_JPA_TOOLS-322399,1,N,N,eclipse
DALI_JPA_TOOLS-334142,439,Y,N,eclipse
DALI_JPA_TOOLS-337875,48,N,N,eclipse
DALI_JPA_TOOLS-369801,0,N,N,eclipse
DALI_JPA_TOOLS-383816,8,N,N,eclipse
DALI_JPA_TOOLS-392601,92,N,N,eclipse
DALI_JPA_TOOLS-394418,1,N,N,eclipse
DALI_JPA_TOOLS-394616,192,N,N,eclipse
DATA_TOOLS-114448,0,N,N,eclipse
DATA_TOOLS-130357,7,N,N,eclipse
DATA_TOOLS-131665,0,N,N,eclipse
DATA_TOOLS-131912,26,N,N,eclipse
DATA_TOOLS-139625,3,N,N,eclipse
DATA_TOOLS-141436,11,N,N,eclipse
DATA_TOOLS-145157,3,N,N,eclipse
DATA_TOOLS-163611,143,N,N,eclipse
DATA_TOOLS-168974,439,Y,N,eclipse
DATA_TOOLS-182031,42,N,N,eclipse
DATA_TOOLS-193124,10,N,N,eclipse
DATA_TOOLS-194169,167,N,N,eclipse
DATA_TOOLS-202112,0,N,N,eclipse
DATA_TOOLS-217690,301,N,N,eclipse
DATA_TOOLS-228963,0,N,N,eclipse
DATA_TOOLS-240742,46,N,N,eclipse
DATA_TOOLS-255741,0,N,N,eclipse
DATA_TOOLS-259467,0,N,N,eclipse
DATA_TOOLS-263704,1,N,N,eclipse
DATA_TOOLS-263929,12,N,N,eclipse
DATA_TOOLS-271351,51,N,N,eclipse
DATA_TOOLS-279558,0,N,N,eclipse
DATA_TOOLS-302666,116,N,N,eclipse
DATA_TOOLS-382327,9,N,N,eclipse
DATA_TOOLS-412630,0,N,N,eclipse
DIRIGIBLE-495669,16,N,N,eclipse
DIRIGIBLE-497898,0,N,N,eclipse
DIRIGIBLE-508232,0,N,N,eclipse
DLTK-175414,0,N,N,eclipse
DLTK-188507,128,N,N,eclipse
DLTK-190420,7,N,N,eclipse
DLTK-200180,1,N,N,eclipse
DLTK-206124,4,N,N,eclipse
DLTK-212332,548,Y,N,eclipse
DLTK-221174,431,Y,N,eclipse
DLTK-328821,0,N,N,eclipse
DLTK-371222,1585,Y,N,eclipse
DLTK-411440,3,N,N,eclipse
DRUPAL-442902,19,N,N,eclipse
DRUPAL-496843,9,N,N,eclipse
EASE-453373,57,N,N,eclipse
EASE-462963,1,N,N,eclipse
EASE-497073,4,N,N,eclipse
EASE-504018,0,N,N,eclipse
EASE-526892,0,N,N,eclipse
EASE-527949,81,N,N,eclipse
ECF-162163,0,N,N,eclipse
ECF-175312,0,N,N,eclipse
ECF-190920,0,N,N,eclipse
ECF-217971,0,N,N,eclipse
ECF-317926,42,N,N,eclipse
ECF-338578,3,N,N,eclipse
ECF-339006,0,N,N,eclipse
ECF-495675,0,N,N,eclipse
ECLIPSELINK-217834,34,N,N,eclipse
ECLIPSELINK-218555,49,N,N,eclipse
ECLIPSELINK-220448,1,N,N,eclipse
ECLIPSELINK-260554,7,N,N,eclipse
ECLIPSELINK-261076,483,Y,N,eclipse
ECLIPSELINK-263372,31,N,N,eclipse
ECLIPSELINK-266569,74,N,N,eclipse
ECLIPSELINK-270533,1,N,N,eclipse
ECLIPSELINK-271312,1,N,N,eclipse
ECLIPSELINK-288000,61,N,N,eclipse
ECLIPSELINK-292796,51,N,N,eclipse
ECLIPSELINK-294742,0,N,N,eclipse
ECLIPSELINK-296346,0,N,N,eclipse
