tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
1683,63,5,1665,Fold1.Rep08,0.9800936768149883,0.9635416666666666,0.9970379146919431,0.9802897906793049,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1676,70,5,1665,Fold2.Rep08,0.9780444964871194,0.9596541786743515,0.9970255800118977,0.9783398793431246,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1692,53,7,1664,Fold3.Rep08,0.9824355971896955,0.9691322073383809,0.9958799293702177,0.9825060683542993,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1685,61,8,1663,Fold4.Rep08,0.9798068481123793,0.9646171693735499,0.9952746603662138,0.9799459148698819,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1693,53,4,1666,Fold5.Rep08,0.9833138173302107,0.9691681210005817,0.9976428992339422,0.983405510117262,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1689,57,8,1663,Fold1.Rep09,0.9809774656131109,0.9668604651162791,0.9952857984678845,0.9810731317920818,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1682,63,8,1662,Fold2.Rep09,0.9792093704245973,0.9634782608695652,0.9952662721893492,0.9793722665294572,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1690,56,7,1663,Fold3.Rep09,0.9815573770491803,0.9674229203025014,0.995875073659399,0.9816489969809502,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1678,68,10,1661,Fold4.Rep09,0.9771729587357331,0.9606709080393291,0.9940758293838863,0.9773733687116077,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
1690,56,3,1667,Fold5.Rep09,0.982728337236534,0.967498549042368,0.9982279976373302,0.982863273339849,eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,0.03125,C,32,144,1
