tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
655,0,53,0,Fold04,0.9251412429378532,0,0.9251412429378532,0.4625706214689266,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
655,0,52,0,Fold05,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
654,0,52,0,Fold06,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
654,0,52,0,Fold07,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
655,0,52,0,Fold08,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
655,0,52,0,Fold09,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
654,0,52,0,Fold10,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,283,2
655,0,52,0,Fold01,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
655,0,52,0,Fold02,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
655,0,52,0,Fold03,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
655,0,52,0,Fold04,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
654,0,52,0,Fold05,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
655,0,52,0,Fold06,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
654,0,52,0,Fold07,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
