tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed
1746,0,139,0,Fold2.Rep07,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold3.Rep07,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,140,0,Fold4.Rep07,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold5.Rep07,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold1.Rep08,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold2.Rep08,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1745,0,139,0,Fold3.Rep08,0.9262208067940552,0,0.9262208067940552,0.4631104033970276,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold4.Rep08,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,140,0,Fold5.Rep08,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,140,0,Fold1.Rep09,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold2.Rep09,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1745,0,139,0,Fold3.Rep09,0.9262208067940552,0,0.9262208067940552,0.4631104033970276,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold4.Rep09,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold5.Rep09,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold1.Rep10,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1745,0,139,0,Fold2.Rep10,0.9262208067940552,0,0.9262208067940552,0.4631104033970276,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,140,0,Fold3.Rep10,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold4.Rep10,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
1746,0,139,0,Fold5.Rep10,0.9262599469496021,0,0.9262599469496021,0.46312997347480106,eclipse,knn,unbalanced,repeatedcv5x10,Accuracy,100,long_description,k,33,NA,0,NA,0,144
0,0,0,0,Fold1.Rep01,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,0,0,0,Fold1.Rep01,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,0,0,0,Fold1.Rep01,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,0,0,0,Fold1.Rep01,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,0,0,0,Fold1.Rep01,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,0,0,0,Fold1.Rep01,NaN,0,0,0,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
3,1743,1,1669,Fold1.Rep01,0.4894613583138173,0.4891559202813599,0.75,0.6195779601406799,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
3,1743,1,1669,Fold1.Rep01,0.4894613583138173,0.4891559202813599,0.75,0.6195779601406799,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
3,1743,1,1669,Fold1.Rep01,0.4894613583138173,0.4891559202813599,0.75,0.6195779601406799,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
3,1743,1,1669,Fold1.Rep01,0.4894613583138173,0.4891559202813599,0.75,0.6195779601406799,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
