tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
663,45,128,351,Fold02,0.8542544229149115,0.8863636363636364,0.8381795195954488,0.8622715779795426,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,1087,2
654,54,102,376,Fold03,0.8684654300168634,0.8744186046511628,0.8650793650793651,0.869748984865264,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,1087,2
650,58,96,383,Fold04,0.8702611625947767,0.8684807256235828,0.871313672922252,0.8698971992729174,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,1087,2
646,61,117,361,Fold05,0.849789029535865,0.8554502369668247,0.8466579292267365,0.8510540830967805,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,1087,2
645,63,94,384,Fold06,0.8676222596964587,0.8590604026845637,0.8728010825439784,0.865930742614271,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,1087,2
650,57,120,359,Fold07,0.8507588532883642,0.8629807692307693,0.8441558441558441,0.8535683066933066,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,1087,2
634,74,102,377,Fold08,0.8517270429654591,0.835920177383592,0.8614130434782609,0.8486666104309264,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,1087,2
645,63,115,363,Fold09,0.8499156829679595,0.852112676056338,0.8486842105263158,0.850398443291327,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,1087,2
650,57,109,370,Fold10,0.8600337268128162,0.8665105386416861,0.8563899868247694,0.8614502627332278,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,1087,2
641,66,106,372,Fold01,0.8548523206751055,0.8493150684931506,0.85809906291834,0.8537070657057453,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,2293,2
662,45,113,365,Fold02,0.8666666666666667,0.8902439024390244,0.8541935483870968,0.8722187254130607,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,2293,2
664,43,94,385,Fold03,0.8844856661045531,0.8995327102803738,0.8759894459102903,0.887761078095332,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,2293,2
649,59,126,353,Fold04,0.8441449031171019,0.8567961165048543,0.8374193548387097,0.847107735671782,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,2293,2
645,63,111,367,Fold05,0.8532883642495784,0.8534883720930233,0.8531746031746031,0.8533314876338132,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,2293,2
650,58,108,370,Fold06,0.8600337268128162,0.8644859813084113,0.8575197889182058,0.8610028851133085,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,2293,2
653,55,127,352,Fold07,0.8466722830665543,0.8648648648648649,0.8371794871794872,0.8510221760221761,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,2293,2
645,63,106,373,Fold08,0.8576242628475147,0.8555045871559633,0.8588548601864181,0.8571797236711907,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,2293,2
654,54,115,364,Fold09,0.8576242628475147,0.8708133971291866,0.8504551365409623,0.8606342668350744,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,2293,2
648,60,98,381,Fold10,0.8668913226621735,0.8639455782312925,0.868632707774799,0.8662891430030457,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,2293,2
643,64,103,375,Fold01,0.8590717299578059,0.8542141230068337,0.8619302949061662,0.8580722089565,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,3581,2
654,54,104,374,Fold02,0.866779089376054,0.8738317757009346,0.862796833773087,0.8683143047370108,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,3581,2
653,55,107,372,Fold03,0.8635214827295703,0.8711943793911007,0.8592105263157894,0.865202452853445,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,3581,2
657,51,87,392,Fold04,0.8837405223251895,0.8848758465011287,0.8830645161290323,0.8839701813150804,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,3581,2
640,67,97,382,Fold05,0.8617200674536256,0.8507795100222717,0.8683853459972863,0.859582428009779,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,3581,2
651,57,118,360,Fold06,0.8524451939291737,0.8633093525179856,0.846553966189857,0.8549316593539213,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,3581,2
654,53,119,359,Fold07,0.8548523206751055,0.8713592233009708,0.8460543337645536,0.8587067785327622,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,3581,2
661,47,111,368,Fold08,0.8668913226621735,0.8867469879518072,0.8562176165803109,0.871482302266059,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,3581,2
640,68,114,365,Fold09,0.8466722830665543,0.8429561200923787,0.8488063660477454,0.8458812430700621,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,3581,2
644,64,123,356,Fold10,0.8424599831508003,0.8476190476190476,0.8396349413298566,0.8436269944744521,eclipse,svm,smote,cv10,Accuracy,150,long_description,59,sigma,0.03125,C,32,3581,2
730,36,28,697,Fold01,0.9570757880617036,0.9508867667121419,0.9630606860158312,0.9569737263639866,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,144,3
719,47,38,687,Fold02,0.9429912810194501,0.9359673024523161,0.9498018494055482,0.9428845759289322,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,144,3
730,36,31,694,Fold03,0.9550637156270959,0.9506849315068493,0.9592641261498029,0.9549745288283261,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,144,3
733,33,34,691,Fold04,0.9550637156270959,0.9544198895027625,0.9556714471968709,0.9550456683498167,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,144,3
724,41,30,695,Fold05,0.9523489932885906,0.9442934782608695,0.9602122015915119,0.9522528399261907,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,144,3
723,43,38,686,Fold06,0.9456375838926174,0.9410150891632373,0.9500657030223391,0.9455403960927882,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,144,3
716,49,30,695,Fold07,0.946979865771812,0.9341397849462365,0.9597855227882037,0.9469626538672201,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,144,3
719,47,48,676,Fold08,0.9362416107382551,0.9349930843706777,0.9374185136897001,0.9362057990301889,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,144,3
727,39,32,693,Fold09,0.9523809523809523,0.9467213114754098,0.9578392621870883,0.952280286831249,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,144,3
724,42,32,693,Fold10,0.9503688799463448,0.9428571428571428,0.9576719576719577,0.9502645502645503,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,144,3
726,40,45,680,Fold01,0.9429912810194501,0.9444444444444444,0.9416342412451362,0.9430393428447903,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,283,3
729,37,32,693,Fold02,0.9537223340040242,0.9493150684931507,0.9579500657030223,0.9536325670980865,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,283,3
