tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,classifier,balancing,resampling,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
764,1,61,0,Fold08,0.9249394673123487,0,0.926060606060606,0.463030303030303,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,3581,1
763,2,59,1,Fold09,0.926060606060606,0.3333333333333333,0.9282238442822385,0.6307785888077859,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,3581,1
765,0,59,1,Fold10,0.9284848484848485,1,0.9283980582524272,0.9641990291262136,knn,unbalanced,10-cv,short_description,k,11,NA,0,NA,0,3581,1
0,0,0,0,Fold01,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold01,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold01,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold01,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold01,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold01,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
872,1,69,0,Fold01,0.9256900212314225,0,0.926673751328374,0.463336875664187,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
872,1,69,0,Fold01,0.9256900212314225,0,0.926673751328374,0.463336875664187,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
872,1,69,0,Fold01,0.9256900212314225,0,0.926673751328374,0.463336875664187,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
872,1,69,0,Fold01,0.9256900212314225,0,0.926673751328374,0.463336875664187,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
872,1,69,0,Fold01,0.9256900212314225,0,0.926673751328374,0.463336875664187,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
872,1,69,0,Fold01,0.9256900212314225,0,0.926673751328374,0.463336875664187,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
